File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels2,Date Modified,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:02:11,24.000,48000,2,1920 x 1080,Cineform HD,00:10:05:23,00:10:08:10,14543,14601,59,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:02:06,24.000,48000,2,1920 x 1080,Cineform HD,00:10:08:10,00:10:10:16,14602,14655,54,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:08:03,24.000,48000,2,1920 x 1080,Cineform HD,00:10:10:16,00:10:18:19,14656,14850,195,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:07:15,24.000,48000,2,1920 x 1080,Cineform HD,00:10:18:19,00:10:26:10,14851,15033,183,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:16:03,24.000,48000,2,1920 x 1080,Cineform HD,00:10:26:10,00:10:42:13,15034,15420,387,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:14:10,24.000,48000,2,1920 x 1080,Cineform HD,00:10:42:13,00:10:56:23,15421,15766,346,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:18:14,24.000,48000,2,1920 x 1080,Cineform HD,00:10:56:23,00:11:15:13,15767,16212,446,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:14:07,24.000,48000,2,1920 x 1080,Cineform HD,00:11:15:13,00:11:29:20,16213,16555,343,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:03,24.000,48000,2,1920 x 1080,Cineform HD,00:11:29:20,00:11:33:23,16556,16654,99,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:22,24.000,48000,2,1920 x 1080,Cineform HD,00:11:33:23,00:11:38:21,16655,16772,118,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:09,24.000,48000,2,1920 x 1080,Cineform HD,00:11:38:21,00:11:42:06,16773,16853,81,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:02:20,24.000,48000,2,1920 x 1080,Cineform HD,00:11:42:06,00:11:45:02,16854,16921,68,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
