File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels,Date Modified
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:09,23.976,48000,2,1920 x 1080,Cineform HD,00:13:13:14,00:13:14:23,19046,19078,33,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:18,23.976,48000,2,1920 x 1080,Cineform HD,00:13:14:23,00:13:17:17,19079,19144,66,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:00:21,23.976,48000,2,1920 x 1080,Cineform HD,00:13:17:17,00:13:18:14,19145,19165,21,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:17,23.976,48000,2,1920 x 1080,Cineform HD,00:13:18:14,00:13:20:07,19166,19206,41,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:02,23.976,48000,2,1920 x 1080,Cineform HD,00:13:20:07,00:13:21:09,19207,19232,26,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:12,23.976,48000,2,1920 x 1080,Cineform HD,00:13:21:09,00:13:22:21,19233,19268,36,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:10:22,23.976,48000,2,1920 x 1080,Cineform HD,00:13:22:21,00:13:33:19,19269,19530,262,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:15:02,23.976,48000,2,1920 x 1080,Cineform HD,00:13:33:19,00:13:48:21,19531,19892,362,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:11,23.976,48000,2,1920 x 1080,Cineform HD,00:13:48:21,00:13:50:08,19893,19927,35,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:12:14,23.976,48000,2,1920 x 1080,Cineform HD,00:13:50:08,00:14:02:22,19928,20229,302,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:03,23.976,48000,2,1920 x 1080,Cineform HD,00:14:02:22,00:14:07:01,20230,20328,99,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:04,23.976,48000,2,1920 x 1080,Cineform HD,00:14:07:01,00:14:10:05,20329,20404,76,10,16,Auto,2,Fri Jul 20 23:08:27 2018
